site_name,provider,parent_company,evidence_tier,evidence_class,state,nem_region,suburb,address,status,facility_mw,critical_it_mw,capacity_basis,include_in_project_totals,source,source_url,secondary_source,secondary_source_url,evidence_summary,confidence_notes
Microsoft Kemps Creek Datacenter,Microsoft Azure,Microsoft,A,Company site plus planning document,NSW,NSW1,Kemps Creek,757-769 Mamre Road,Under Construction,144.0,,design_power_mw,False,NSW Major Projects planning document,https://majorprojects.planningportal.nsw.gov.au/prweb/PRRestService/mp/01/getContent?AttachRef=SSD-10101987%2120210914T054845.238+GMT,Microsoft Local,https://local.microsoft.com/blog/kemps-creek-datacentre-overview/,NSW planning material identifies the Kemps Creek Data Centre site at 757-769 Mamre Road and states the layout was developed for three 48 MW data centres for 144 MW total capacity. Microsoft Local confirms Microsoft began construction for the Kemps Creek datacenter in the Mamre Road precinct.,Strong physical-site lead with source-backed MW. Kept out of project totals until promoted through the normal project evidence audit.
Microsoft Station Road Datacentres,Microsoft Azure,Microsoft,A,Company site,NSW,NSW1,Seven Hills,Station Road,Operating / construction updates,,,no_mw_disclosed,False,Microsoft Local,https://local.microsoft.com/blog/station-road-datacentres/,Microsoft Local construction updates,https://local.microsoft.com/blog/construction-updates-for-the-station-road-datacentres/?wg-choose-original=true,Microsoft Local says Microsoft has two datacenter buildings on Station Road in Seven Hills and separately provides construction updates for the Station Road datacentres.,Direct operator confirmation for physical Microsoft facilities. No public MW located.
Microsoft Cawley Road Datacenter,Microsoft Azure,Microsoft,A,Company site plus trade press planning detail,VIC,VIC1,Yarraville,20-28 Cawley Road,Partly Operating / Under Construction,,,no_mw_disclosed,False,Microsoft Local,https://local.microsoft.com/blog/cawley-road-datacentre-construction-overview/,DCD,https://www.datacenterdynamics.com/en/news/microsoft-planning-data-centers-in-melbourne-australia/,Microsoft Local says Building One at the Cawley Road datacenter is complete and operational and Building Two is in fit-out. DCD reports planning documents for 20-28 Cawley Road and identifies the development as MEL4.,Direct operator confirmation for physical Microsoft facility. No public MW located.
Microsoft Garden Drive Datacenter,Microsoft Azure,Microsoft,A,Company site,VIC,VIC1,Tullamarine,Garden Drive,Late Construction / Fit-out,,,no_mw_disclosed,False,Microsoft Local,https://local.microsoft.com/blog/garden-drive-datacentre-construction-overview/,Microsoft Local,https://local.microsoft.com/blog/woods-road-datacentre-construction-overview/,Microsoft Local says Microsoft began construction for the Garden Drive datacenter in Tullamarine and its February 2025 update says structure roofing facade and internal works were complete with fit-out and substation work continuing.,Direct operator confirmation for physical Microsoft facility. No public MW located.
Microsoft Woods Road Datacenter,Microsoft Azure,Microsoft,A,Company site,VIC,VIC1,Truganina,Woods Road,Late Construction / Substation works,,,no_mw_disclosed,False,Microsoft Local,https://local.microsoft.com/blog/woods-road-datacentre-construction-overview/,Microsoft Local,https://local.microsoft.com/blog/garden-drive-datacentre-construction-overview/,Microsoft Local says Microsoft began construction for the Woods Road datacenter in December 2022 and its February 2025 update says major construction works were complete with substation works underway.,Direct operator confirmation for physical Microsoft facility. No public MW located.
AWS Turner Road Smeaton Grange,Amazon Web Services,Amazon,B,Trade press citing planning source,NSW,NSW1,Smeaton Grange,52 Turner Road,Planned / Proposed,,40.0,reported_it_capacity_trade_press,False,DCD,https://www.datacenterdynamics.com/en/news/amazon-planning-new-data-centers-in-melbourne-and-sydney-australia/,,,DCD reports Amazon is moving forward with a Sydney facility at 52 Turner Road Smeaton Grange and says the data center will have 40 MW IT capacity and form part of the AWS Asia Pacific Sydney Region.,Credible AWS physical-site lead but the current stored evidence is secondary reporting. Keep out of project totals pending direct planning-document capture.
AWS Smeaton Grange Park existing SYD52,Amazon Web Services,Amazon,C,Trade press existing-site reference,NSW,NSW1,Smeaton Grange,Smeaton Grange Park,Operating,,,no_mw_disclosed,False,DCD,https://www.datacenterdynamics.com/en/news/amazon-planning-new-data-centers-in-melbourne-and-sydney-australia/,,,DCD says the 52 Turner Road facility would be Amazon's second facility within Smeaton Grange Park and refers to existing SYD52 land.,Physical AWS existing-site lead but exact address and MW need stronger source capture.
AWS Eastern Creek area campus,Amazon Web Services,Amazon,C,Trade press area-level reference,NSW,NSW1,Eastern Creek,Eastern Creek area,Operating,,,no_mw_disclosed,False,DCD,https://www.datacenterdynamics.com/en/news/amazon-planning-new-data-centers-in-melbourne-and-sydney-australia/,,,DCD reports that Amazon operates a campus in the Eastern Creek area of Sydney.,Area-level AWS operating-campus lead only. Exact address and MW are not publicly verified in the stored source.
AWS Cobblebank / Ferris Road,Amazon Web Services,Amazon,B,Trade press project lead,VIC,VIC1,Cobblebank,54-80 Ferris Road,Planned / Proposed,,,no_mw_disclosed,False,DCD,https://www.datacenterdynamics.com/en/news/amazon-planning-new-data-centers-in-melbourne-and-sydney-australia/,,,DCD reports Amazon is planning a data center on a 13.2 ha site at 54-80 Ferris Road Cobblebank that would become part of the AWS Melbourne region.,Credible AWS physical-site lead but no MW has been captured from a primary source.
Huntingwood Data Centre,Unknown Hyperscaler,Unknown Hyperscaler,B,Consultant portfolio with confidential US client,NSW,NSW1,Huntingwood,"Huntingwood, Sydney",Planned / Proposed,96.0,,reported_facility_capacity,False,LCI Consultants project page,https://www.lciconsultants.com.au/portfolio/syd01/,,,"LCI says it served as principal consultant for a proposed 39,267 square metre Huntingwood data centre with 96MW capacity for a confidential US corporation.","Site and MW are public, but operator is not publicly named in the located source; keep as lead-only and do not attribute to a specific hyperscaler."
