release_date,model,provider,category,context_k,notable,source
2023-03-14,GPT-4,OpenAI,frontier,32,First multimodal frontier model,OpenAI blog
2023-07-18,Llama 2,Meta,open_source,4,Open-weight 70B competitive with GPT-3.5,Meta AI blog
2023-12-06,Gemini 1.0 Pro,Google,frontier,32,Google's first competitive frontier model,Google AI blog
2024-02-15,Gemini 1.5 Pro,Google,frontier,1000,First 1M token context window,Google AI blog
2024-03-04,Claude 3 Opus,Anthropic,frontier,200,SOTA on reasoning benchmarks at launch,Anthropic blog
2024-04-18,Llama 3,Meta,open_source,8,Open-source approaching GPT-4 level,Meta AI blog
2024-05-13,GPT-4o,OpenAI,frontier,128,Multimodal native — audio/vision/text,OpenAI blog
2024-06-20,Claude 3.5 Sonnet,Anthropic,frontier,200,SOTA on coding and reasoning,Anthropic blog
2024-07-23,Llama 3.1 405B,Meta,open_source,128,First open model matching frontier on benchmarks,Meta AI blog
2024-09-12,o1-preview,OpenAI,reasoning,128,Chain-of-thought reasoning breakthrough,OpenAI blog
2024-10-22,Claude 3.5 Sonnet v2,Anthropic,frontier,200,Computer use capability,Anthropic blog
2024-12-05,Gemini 2.0 Flash,Google,frontier,1000,Low-cost high-capability model,Google AI blog
2025-01-20,DeepSeek R1,DeepSeek,open_source,128,Open reasoning model matching o1,DeepSeek GitHub
2025-02-24,Claude 3.7 Sonnet,Anthropic,reasoning,200,Hybrid reasoning + extended thinking,Anthropic blog
2025-02-27,GPT-4.5,OpenAI,frontier,128,Largest pre-trained model to date,OpenAI blog
2025-03-25,Gemini 2.5 Pro,Google,reasoning,1000,SOTA reasoning with 1M context,Google AI blog
2025-04-14,Claude 4 Sonnet,Anthropic,frontier,200,Agentic coding and tool use,Anthropic blog
2025-05-22,Claude 4 Opus,Anthropic,frontier,200,SOTA on complex reasoning and analysis,Anthropic blog
2025-07-01,Grok 4,xAI,reasoning,131,Frontier reasoning — 88% GPQA 24% HLE,xAI blog
2025-07-01,Qwen3-235B,Alibaba,open_source,128,Open reasoning model competitive with frontier,Qwen GitHub
2025-08-01,GPT-5,OpenAI,frontier,400,Major capability upgrade — multi-step tool use,OpenAI blog
2025-09-01,Claude Sonnet 4.5,Anthropic,frontier,200,Fast production coding model,Anthropic blog
2025-10-01,Claude Opus 4.1,Anthropic,frontier,200,Improved reasoning over Opus 4,Anthropic blog
2025-11-01,Gemini 3 Pro,Google,frontier,1000,Multi-modal reasoning with 1M context — 91.9% GPQA,Google AI blog
2025-12-01,GPT-5.2,OpenAI,frontier,400,Deep thinking and coding — 92.4% GPQA 80% SWE-Bench,OpenAI blog
2025-12-01,Gemini 3 Flash,Google,frontier,1000,High-speed frontier — 90.4% GPQA at low cost,Google AI blog
2026-01-01,Kimi K2.5,Moonshot AI,frontier,262,Strong reasoning from Moonshot AI,Moonshot AI blog
2026-02-01,Claude Opus 4.6,Anthropic,frontier,1000,1M context — 91.3% GPQA — SOTA reasoning,Anthropic blog
2026-02-01,Gemini 3.1 Pro,Google,frontier,1049,94.3% GPQA — highest GPQA score ever,Google AI blog
2026-02-01,Claude Sonnet 4.6,Anthropic,frontier,200,Fast frontier with near-Opus quality,Anthropic blog
2026-03-01,GPT-5.4,OpenAI,frontier,1000,Latest OpenAI flagship — 1M context,OpenAI blog
