catalog_key,event_key,first_seen_at,last_seen_at,seen_count,last_bucket,last_tier,max_materiality_score,title,source,url,published,summary
compelling destination airtrunk invests 42bn in india,compelling destination airtrunk invests 42bn in india,2026-07-03T23:52:00Z,2026-08-14T23:51:45Z,7,ANZ DC,MEDIUM,0.520,‘Compelling destination’: AirTrunk invests $42bn in India - The Australian,The Australian,https://news.google.com/rss/articles/CBMihgJBVV95cUxQWEMtZXg2X05XblFaWWstem5CQ1lYUGJnTVU3SEYyS3JRMk5PMHhvM1ZEUkd2RXFSMFI3bjhLOUJ2bm9UbDUySWI3Y2U0c09XSEM5eEMyQnBDellqNFVTWXlERjhnMm5wMEFRaDBNa0pudTFJOGpzZmpIeWkxc3ZIZnpLaWt6OHU5Q2YtNU1hd3Y5OG1kSklKb0Z2c09xMHZtT0NwNzI2R01IamY3dGhDT3pFeFBCVF94a2x4VUFacDIzOUEwOTFobjREck0tOElsVEFZUmZlX0djU3RqNkZpU0FpOE5VaEl3VVJ2b1A5dE14Sl9KZ3pzRFFQcExhaEVicHpUMnRB0gGLAkFVX3lxTE8xUTdFdWM0NFFIQ04wbklxbTFlU1g1REZycHlqMk9RcnA5QU9EVUdUZFJ1UEwzYUFGcW0zX3V0TldXS0Fzd3E0NS04U01tVUZRWkxLT3BQd2ctdWtpMHpKcnFfTXpfSF91T2xPOHVMdkoyald0QlQwUmpCTEtuRDFidGhoSXdJY1E2bWQxc0hSbUsxNG1EbURfaUlyX0FLUWI2N1Y3X1RVVnd2Z1liZUxUeEFUVU5iVy1LTkxHbVFhUkd0cjc3cnNXOU9RZ3BvR3lBY0xsbXlwaVgtNlB0R2xhOGVDcXZsUXdEVGhQdFBzS296UmVfdTd5bFJyMjQ5ZS1OOVJCc2ZFTk9taw?oc=5,2026-06-06T07:00:00+00:00,
australia s airtrunk to invest 30 billion in india by 2030,australia s airtrunk to invest 30 billion in india by 2030,2026-07-03T23:52:00Z,2026-08-14T23:51:45Z,7,ANZ DC,MEDIUM,0.520,Australia's AirTrunk to invest $30 billion in India by 2030 - Reuters,Reuters,https://news.google.com/rss/articles/CBMioAFBVV95cUxQRjJkc3E2Z3NoakhZRzRMMjlSN3dxYWNTc3phXzVWZWw3WkhGaGhPRVJCSnBoS1NSNHJIaFBtdDVscWdEM091cHd4WktyRkZNb2RodC00SUtsUDlSLXdhdG5tb2hCTHEwY3BlczhLOHU3ZDh4ZkM5TXZKSU5iOTRmYldUOTg2OG5SdnpuaWtrbkJELThyVUxZQUJZM01taGgz?oc=5,2026-06-05T07:00:00+00:00,Australia's
australia s nextdc signs 1 6 billion senior debt facilities to fund expansion,australia s nextdc signs 1 6 billion senior debt facilities to fund expansion,2026-07-10T23:51:40Z,2026-08-14T23:51:45Z,6,ANZ DC,HIGH,0.933,Australia's NEXTDC signs $1.6 billion senior debt facilities to fund expansion - Reuters,Reuters,https://news.google.com/rss/articles/CBMixgFBVV95cUxPSzZzZ250MEZjQlQ1N1c3VkxzdmhUbWp0RGY3V0ZQNkIyVTlDU3hwcTJ2c293ak9reXctUVB5bzQwdWQwaTNBTXRNS2R6LS1MeURYcE11eG55d3lGTUNOVGpPVGx1ang2dGwzakpRdzg3Wm8yMEt0VXg4X09PZnZfUkpPdkZLdTNRcGJTeTFnMmNyYUxNdVpnTGh4RkFZanp1bEVKT1VpSkZkTFhBajZ2Mkc1UV8zZVZlUzhGMnNaczNZV3FIWmc?oc=5,2026-07-09T23:54:23+00:00,
nextdc shares jump after data center operator wins new contracts,nextdc shares jump after data center operator wins new contracts,2026-07-31T23:51:20Z,2026-08-14T23:51:45Z,3,ANZ DC,MEDIUM,0.820,NEXTDC Shares Jump After Data Center Operator Wins New Contracts - Bloomberg,Bloomberg,https://news.google.com/rss/articles/CBMitgFBVV95cUxQX2JQLU13NjFpQlozeFFIQWJEbVlZZ0k1eG81djkxSk9yTWhhMlkteHV0NVM4czZnVHBQTzJraVVWR2ZJY2tXdmVsdHNiTVlvQlg4X3ZMeHV6NVp3Qkg2cC1UeHpxWFE0LWoxaW9VYV9VdHJQR3BlV04yVXg0eHpEa2kwcXVzSjFDMkM5MnFtLUpLV3JKUzROVjlnMmNHa3Ffbm9oR1pkWFZjdTVMWWJoUUNYU1BuQQ?oc=5,2026-07-20T07:00:00+00:00,
cdc-infratil-us-customer-contract,cdc-infratil-us-customer-contract,2026-05-11T12:36:19Z,2026-08-14T23:51:45Z,9,ANZ DC,MEDIUM,0.820,Infratil Shares Surge as CDC Signs Monster Data Center Deal - Bloomberg,Bloomberg,https://news.google.com/rss/articles/CBMirwFBVV95cUxOVUZfazRJWkNmNFI4NkE0eEFRcS1EeDY2aFhlSWlfSkV1N3A4cjdBY1JPdlZoNVVuaDZacmFlbFZHZU9wZTJPS1BNMkhoR1JKYk9OWHp0VjhwSHFRTzFNVlpvSzU4bmJlSm5YcFcyU3I2ZmRYZkRFSnhXam10bW1GTFlKZTQtYndOY1dueURvSzgydTJ2T2o2OUZRVTB3ZFVBc29UYTdOWlI3SWNZbEJz?oc=5,2026-05-05T07:00:00+00:00,
anthropic backers eye 2 trillion valuation its projected q2 revenue was 10 9b,anthropic backers eye 2 trillion valuation its projected q2 revenue was 10 9b,2026-08-14T23:51:45Z,2026-08-14T23:51:45Z,1,Frontier Labs,HIGH,0.862,Anthropic backers eye $2 trillion valuation. Its projected Q2 revenue was $10.9B - rdworldonline.com,rdworldonline.com,https://news.google.com/rss/articles/CBMirAFBVV95cUxPTlpTSVRiYkVEbEZYcTUxcUVmcUlXclhrV3U2em96b015ZXoxY2Z5LWpVemNlM1M1TnNTMUJoX3UzSjhpRlF5WXJicEljS2lZUHgyWl9rSXRUeXBVcngtT1FjZVZQbUJIRGFXcVdPUldPVWlscjFWR1NzM3FqMmdJVmRQcVFleXJCaUZXcXFhVnFEV05PTkxlZDN4OWZMLTM3Nk1USFZYY19oeXZL?oc=5,2026-08-14T16:18:32+00:00,
openai and anthropic in price war as chinese ai rivals gain ground,openai and anthropic in price war as chinese ai rivals gain ground,2026-08-14T23:51:45Z,2026-08-14T23:51:45Z,1,Model Releases,MEDIUM,0.838,OpenAI and Anthropic in price war as Chinese AI rivals gain ground - AFR,AFR,https://news.google.com/rss/articles/CBMiswFBVV95cUxNYkZ1b1FGbE5TQWVsM1cxRUhaeVhfWXA4dkdRdTh5VXRCSWRveVdhQ09sU1M2S3F4TVdVNEFGbnNtQzMyQlBybEk0SHp1NnM5QXozM0RxVm1qNW9XMXROMVM3VElDZlRKYTA2bjVzX0EtUWdkWnJtd3NDMUp5R2NiUzFlUFZRekdpTGNTSTkxVXozVnpVMXljdXFNNTk2QWNjUFlvY0RDZzFyMW82cExhRi1YYw?oc=5,2026-08-14T05:45:00+00:00,
infratil boosts earnings as cdc dominates valuation one nz dominates profit contribution,infratil boosts earnings as cdc dominates valuation one nz dominates profit contribution,2026-07-03T23:52:00Z,2026-08-07T23:51:45Z,6,ANZ DC,MEDIUM,0.580,"Infratil boosts earnings as CDC dominates valuation, One NZ dominates profit contribution - NZ Herald",NZ Herald,https://news.google.com/rss/articles/CBMi8gFBVV95cUxPQjNGUzJ6aUpGcnRqNWpxLTRON1JxSEdQS2RVajNndHhiUm4yMFNmMHJEYUhfdVVNOEplQ1Q5TVNyaTkxTVhOZ290aU1LY0tEdDQ2WXVPRG93bkp5T21nUmJOdk9DS2RCM0lHdzViMzE4eEtqcmpuYUNfako3bThGTWt3M3FPeEdVcGpMb3ZYSk1aRnV2VElveUJWRXRxSVlDRjVDdEtvSXBqVGFGTVhoenM2enJTaUZQejA0THVuRlJOMkRSRVVrTk9TVThhUklmelZVSkJia01PdDhsWnE3U3NBaVBYa1ZxRlRKbjVTUk1pQQ?oc=5,2026-05-26T07:00:00+00:00,
deepseek releases beta version of v4 models as ai price war heats up,deepseek releases beta version of v4 models as ai price war heats up,2026-07-31T23:51:20Z,2026-08-07T23:51:45Z,2,Model Releases,MEDIUM,0.841,DeepSeek releases beta version of V4 models as AI price war heats up - Nikkei Asia,Nikkei Asia,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOV3o4YXZVWEZta2NwZUlsbXd0QW13UkJhSzluUUFyT2E5VkU0OThQZ2xjakpzV25KYTdPQVVKQ2RSZW5uSE13VUFaUThlUHJkckJySnBiTWJHdTk1NER2cFJoaWN5bWNBdlRSdDU1UmcwVzBFcG9obUZ0RG11NUJKX19oYXBMem02anZ1aGFmZC1HaFJRMnQ4eXJmRlpOVXlfMl9BUHI3ZmJSaDlIVk1adnZrVEcwR1R3VHhaUS1scE00UjZod1lGNzRXcnE0b2xJUmc?oc=5,2026-07-31T09:08:00+00:00,
deepseek wants to bypass u s sanctions with a custom chip why nvidia stock is sliding,deepseek wants to bypass u s sanctions with a custom chip why nvidia stock is sliding,2026-07-10T23:51:40Z,2026-08-07T23:51:45Z,3,China / Export Controls,MEDIUM,0.820,DeepSeek Wants to Bypass U.S. Sanctions With a Custom Chip. Why Nvidia Stock Is Sliding. - Barron's,Barron's,https://news.google.com/rss/articles/CBMimwFBVV95cUxNaXp0ekxDejQtN2VmbHdLMmh5QmhWVE9qSi03OG9PdUdqOEZ4OUtVVkRSaUpYaTh3clMtWHFSTHZld2JveGtEak1YeVFYS2VLS0FsWGdoV3V4c3dHc2x6azM0R0tMV3M4RTFOSlJiTVdjMEUxSGJTbnV0UmNFUDRMdnd4RzlMRjl1N2dGTU5BMkFjX0lWTG42Tk8ycw?oc=5,2026-07-07T07:00:00+00:00,DeepSeek Wants to
