C,SETP.WORLD,DVD_DUDETAIL,AEMO,PUBLIC,2025/06/10,12:30:34,001749522634750,MONTHLY_ARCHIVE,001749522634750
I,PARTICIPANT_REGISTRATION,DUDETAIL,7,EFFECTIVEDATE,DUID,VERSIONNO,CONNECTIONPOINTID,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,DISPATCHTYPE,MAXCAPACITY,STARTTYPE,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,AUTHORISEDBY,AUTHORISEDDATE,LASTCHANGED,INTERMITTENTFLAG,SEMISCHEDULE_FLAG,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN,DISPATCHSUBTYPE,ADG_ID,MINCAPACITY,REGISTEREDMINCAPACITY,MAXRATEOFCHANGEUP_LOAD,MAXRATEOFCHANGEDOWN_LOAD,MAXSTORAGECAPACITY,STORAGEIMPORTEFFICIENCYFACTOR,STORAGEEXPORTEFFICIENCYFACTOR,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,LOAD_MIN_RAMP_RATE_UP,LOAD_MIN_RAMP_RATE_DOWN,AGGREGATED
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/26 00:00:00",LD01,1,NLDP1,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/10/28 12:08:27","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",OSB01,1,SNBN1,66,118,N,GENERATOR,118,SLOW,,,N,BATCH,"1998/10/29 18:06:36","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",OSB02,1,SNBN2,66,62,N,GENERATOR,62,SLOW,,,N,BATCH,"1998/10/29 18:06:36","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/26 00:00:00",LD01,2,NLDP1,330,500,Y,GENERATOR,550,SLOW,,,Y,BATCH,"1998/10/29 18:52:51","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",NPS1,2,SNPA1,275,265,Y,GENERATOR,280,SLOW,,,Y,BATCH,"1998/11/02 12:10:49","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",NPS2,2,SNPA2,275,265,Y,GENERATOR,280,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",PLAYFB1,2,SPSD1,275,60,N,GENERATOR,63,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",PLAYFB2,2,SPSD2,275,60,N,GENERATOR,63,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",PLAYFB3,2,SPSD3,275,60,N,GENERATOR,63,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
D,PARTICIPANT_REGISTRATION,DUDETAIL,7,"1998/10/25 00:00:00",PLAYFB4,2,SPSD4,275,60,N,GENERATOR,63,SLOW,,,Y,BATCH,"1998/11/02 12:10:50","2008/12/10 09:21:25",N,N,,,,,,,,,,,,,,,,
