project_name,campus,operator,parent_company,operator_type,nem_region,state,suburb,status,facility_mw,critical_it_mw,startup_year,full_capacity_year,capex_aud_m,power_strategy,workload_type,pue,wue,pue_source,financial_sponsor,source,power_secured,source_url,source_date,source_page_or_section,evidence_quote,capacity_basis,last_verified_at,it_load_mw,gross_power_mw,power_consumption_mw,grid_connection_mva,campus_full_build_mw,unverified_capacity_mw,include_in_project_totals,remediation_status,remediation_notes,removal_reason,removed_at,removal_notes
B3,NEXTDC B3,NEXTDC,NEXTDC,Colocation,QLD1,QLD,Brisbane,Proposed,,,2028.0,,,Grid,AI/HPC,1.35,,Design target — NEXTDC next-gen,,Unverified NEXTDC pipeline estimate,,,,,,unverified_pipeline_estimate,,,,,,,150.0,False,quarantined_no_row_level_source,No row-level primary source located in current remediation pass; capacity removed from project totals pending verification.,unsupported_duplicate_or_legacy_placeholder,,
P3,NEXTDC P3,NEXTDC,NEXTDC,Colocation,WA,WA,Perth,Proposed,,,2028.0,,,Grid,AI/HPC,1.35,,Design target — NEXTDC next-gen,,Unverified NEXTDC pipeline estimate,,,,,,unverified_pipeline_estimate,,,,,,,80.0,False,quarantined_no_row_level_source,No row-level primary source located in current remediation pass; capacity removed from project totals pending verification.,unsupported_duplicate_or_legacy_placeholder,,
Macquarie Park,CDC Macquarie Park,CDC Data Centres,Infratil,Colocation,NSW1,NSW,Macquarie Park,Operating,,,2017.0,,,Grid,Traditional,1.38,0.01,CDC 2024 Sustainability Report,,No current row-level CDC capacity source found,,,,,,unsupported_legacy_split,2026-05-07,,,,,,20.0,False,quarantined_no_row_level_source,Current CDC location pages do not disclose this legacy row as a separate MW-bearing campus; excluded from capacity totals pending source.,unsupported_duplicate_or_legacy_placeholder,,
Silverwater,CDC Silverwater,CDC Data Centres,Infratil,Colocation,NSW1,NSW,Silverwater,Operating,,,2012.0,,,Grid,Traditional,1.38,0.01,CDC 2024 Sustainability Report,,No current row-level CDC capacity source found,,,,,,unsupported_legacy_split,2026-05-07,,,,,,15.0,False,quarantined_no_row_level_source,Current CDC location pages do not disclose this legacy row as a separate MW-bearing campus; excluded from capacity totals pending source.,unsupported_duplicate_or_legacy_placeholder,,
CDC Deakin,CDC Deakin,CDC Data Centres,Infratil,Colocation,NSW1,NSW,Canberra,Operating,,,2005.0,,,Grid,Traditional,1.38,0.01,CDC 2024 Sustainability Report,,No current row-level CDC capacity source found,,,,,,unsupported_legacy_split,2026-05-07,,,,,,20.0,False,quarantined_no_row_level_source,Current CDC location pages do not disclose this legacy row as a separate MW-bearing campus; excluded from capacity totals pending source.,unsupported_duplicate_or_legacy_placeholder,,
CDC Brisbane,CDC Brisbane,CDC Data Centres,Infratil,Colocation,QLD1,QLD,Brisbane,Operating,,,2014.0,,,Grid,Traditional,1.38,0.01,CDC 2024 Sustainability Report,,No current row-level CDC capacity source found,,,,,,unsupported_legacy_split,2026-05-07,,,,,,15.0,False,quarantined_no_row_level_source,Current CDC location pages do not disclose this legacy row as a separate MW-bearing campus; excluded from capacity totals pending source.,unsupported_duplicate_or_legacy_placeholder,,
CDC Adelaide,CDC Adelaide,CDC Data Centres,Infratil,Colocation,SA1,SA,Adelaide,Operating,,,2018.0,,,Grid,Traditional,1.38,0.01,CDC 2024 Sustainability Report,,No current row-level CDC capacity source found,,,,,,unsupported_legacy_split,2026-05-07,,,,,,10.0,False,quarantined_no_row_level_source,Current CDC location pages do not disclose this legacy row as a separate MW-bearing campus; excluded from capacity totals pending source.,unsupported_duplicate_or_legacy_placeholder,,
AirTrunk SYD4,AirTrunk SYD4,AirTrunk,Blackstone,Colocation,NSW1,NSW,Western Sydney,Proposed,,,2028.0,,,Grid,AI/HPC,1.25,0.8,Design target — AirTrunk 1.23-1.28 band,,No row-level source found in remediation pass,,,,,,unsupported_estimate,2026-05-07,,,,,,250.0,False,quarantined_no_source,No primary or named secondary source found for this named project and MW figure in this pass.,unsupported_duplicate_or_legacy_placeholder,,
Goodman Ultimo,Goodman Ultimo,Goodman Group,Goodman Group,Developer,NSW1,NSW,Ultimo,Operating,,,2022.0,,,Grid,Traditional,1.4,1.2,Industry benchmark — modern colo developer,,No row-level MW source found in remediation pass,,,,,,unsupported_estimate,2026-05-07,,,,,,25.0,False,quarantined_no_row_level_source,Source label did not resolve to a row-level URL/evidence quote supporting the MW figure; capacity excluded from project totals pending verification.,unsupported_duplicate_or_legacy_placeholder,,
Goodman Truganina,Goodman Truganina,Goodman Group,Goodman Group,Developer,VIC1,VIC,Truganina,Under Construction,,,2026.0,,,Grid,Cloud,1.3,0.8,Design target — Goodman new build,,No row-level MW source found in remediation pass,,,,,,unsupported_estimate,2026-05-07,,,,,,100.0,False,quarantined_no_row_level_source,Source label did not resolve to a row-level URL/evidence quote supporting the MW figure; capacity excluded from project totals pending verification.,unsupported_duplicate_or_legacy_placeholder,,
Goodman Macquarie Park,Goodman Macquarie Park,Goodman Group,Goodman Group,Developer,NSW1,NSW,Macquarie Park,Under Construction,,,2026.0,,,Grid,Cloud,1.3,0.8,Design target — Goodman new build,,No row-level MW source found in remediation pass,,,,,,unsupported_estimate,2026-05-07,,,,,,60.0,False,quarantined_no_row_level_source,Source label did not resolve to a row-level URL/evidence quote supporting the MW figure; capacity excluded from project totals pending verification.,unsupported_duplicate_or_legacy_placeholder,,
AWS Sydney Region,,Amazon Web Services,Amazon,Hyperscaler,NSW1,NSW,Various,Operating,,,,,,Grid,Cloud,1.15,0.15,AWS 2024 Sustainability Report (global avg),,Amazon/AWS Australia infrastructure announcement; MW not disclosed,,https://www.aboutamazon.com/news/aws/amazon-data-center-investment-in-australia?refid=lambda_samplecode,2025-06-14,announcement key takeaways,Amazon plans to invest AU$20 billion to expand data center infrastructure by 2029.,regional_estimate_no_project_mw,2026-05-07,,,,,,200.0,False,quarantined_regional_estimate,AWS source supports national data-centre infrastructure expansion but not a row-level MW figure or named physical facility.,regional_provider_estimate_not_project,,
AWS Melbourne Region,,Amazon Web Services,Amazon,Hyperscaler,VIC1,VIC,Various,Operating,,,,,,Grid,Cloud,1.15,0.15,AWS 2024 Sustainability Report (global avg),,Amazon/AWS Australia infrastructure announcement; MW not disclosed,,https://www.aboutamazon.com/news/aws/amazon-data-center-investment-in-australia?refid=lambda_samplecode,2025-06-14,announcement key takeaways,Amazon plans to invest AU$20 billion to expand data center infrastructure by 2029.,regional_estimate_no_project_mw,2026-05-07,,,,,,100.0,False,quarantined_regional_estimate,AWS source supports national data-centre infrastructure expansion but not a row-level MW figure or named physical facility.,regional_provider_estimate_not_project,,
AWS Queensland Region,,Amazon Web Services,Amazon,Hyperscaler,QLD1,QLD,Various,Proposed,,,2027.0,,2000.0,Grid,Cloud,1.12,0.12,Design target — AWS next-gen,,Amazon/AWS Australia infrastructure announcement; MW not disclosed,,https://www.aboutamazon.com/news/aws/amazon-data-center-investment-in-australia?refid=lambda_samplecode,2025-06-14,announcement key takeaways,Amazon plans to invest AU$20 billion to expand data center infrastructure by 2029.,regional_estimate_no_project_mw,2026-05-07,,,,,,300.0,False,quarantined_regional_estimate,AWS source supports national data-centre infrastructure expansion but not a row-level MW figure or named physical facility.,regional_provider_estimate_not_project,,
AWS Perth Region,,Amazon Web Services,Amazon,Hyperscaler,WA,WA,Various,Proposed,,,2028.0,,,Grid,Cloud,1.12,0.12,Design target — AWS next-gen,,Amazon/AWS Australia infrastructure announcement; MW not disclosed,,https://www.aboutamazon.com/news/aws/amazon-data-center-investment-in-australia?refid=lambda_samplecode,2025-06-14,announcement key takeaways,Amazon plans to invest AU$20 billion to expand data center infrastructure by 2029.,regional_estimate_no_project_mw,2026-05-07,,,,,,100.0,False,quarantined_regional_estimate,AWS source supports national data-centre infrastructure expansion but not a row-level MW figure or named physical facility.,regional_provider_estimate_not_project,,
